title,lyrics
Blackbird,"Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise

Black bird singing in the dead of night
Take these sunken eyes and learn to see
All your life
You were only waiting for this moment to be free

Blackbird fly, blackbird fly
Into the light of the dark black night.

Blackbird fly, blackbird fly
Into the light of the dark black night.

Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise,
You were only waiting for this moment to arise,
You were only waiting for this moment to arise"
My Bonnie,"My Bonnie lies over the ocean
My Bonnie lies over the sea
My Bonnie lies over the ocean
Oh bring back my Bonnie to me

My Bonnie lies over the ocean
My Bonnie lies over the sea
Well, my Bonnie lies over the ocean
Yeah, bring back my Bonnie to me

Yeah bring back, ah bring back
Oh bring back my Bonnie to me to me (to me)
(Ah bring) Oh bring back, ah bring back
Oh bring back my Bonnie to me

Well, my Bonnie lies over the ocean
My Bonnie lies over the sea
Yeah my Bonnie lies over the ocean
Oh, I said bring back my Bonnie to me

Yeah bring back, ah bring back 
Oh bring back my Bonnie to me to me (to me)
Oh bring back, ah bring back 
Oh bring back my Bonnie to me"
Let It Be,"When I find 
myself
 in 
times
 of trouble, 
Mother
 Mary 
comes
 to me
Speaking 
words
 of wisdom, let it be
And in my hour of 
darkness
 she is 
standing
 right in 
front
 of me
Speaking 
words
 of wisdom, let it be

Let it be, let it be, let it be, let it be
Whisper 
words
 of wisdom, let it be

And when the broken-hearted 
people
 living in the 
world
 agree
There will be an answer, let it be
For 
though
 they may be parted, 
there
 is 
still
 a 
chance
 that they will see
There will be an answer, let it be

Let it be, let it be, let it be, let it be
Yeah, 
there
 will be an answer, let it be
Let it be, let it be, let it be, let it be
Whisper 
words
 of wisdom, let it be

Let it be, let it be, let it be, yeah, let it be
Whisper 
words
 of wisdom, let it be

And when the 
night
 is 
cloudy
 there is 
still
 a 
light
 that 
shines
 on me
Shine 
until
 tomorrow, let it be
I wake up to the 
sound
 of music, 
Mother
 Mary 
comes
 to me
Speaking 
words
 of wisdom, let it be

Let it be, let it be, let it be, yeah, let it be
There will be an answer, let it be
Let it be, let it be, let it be, yeah, let it be
There will be an answer, let it be
Let it be, let it be, let it be, yeah, let it be
Whisper 
words
 of wisdom, let it be"
Maggie Mae,"Oh dirty Maggie Mae they have taken her away
And she never walk down Lime Street any more
Oh the judge he guilty found her
For robbing a homeward bounder
That dirty no good robbin' Maggie Mae
To the port of Liverpool
They returned me to
Two pounds ten a week, that was my pay"
Old Brown Shoe,"I want a love that's 
right
 
But 
right
 is only half of what's wrong
I want a 
short
 haired girl 
Who 
sometimes
 wears it 
twice
 as long
Now I'm 
stepping
 out this old 
brown
 shoe
Baby, I'm in love with you
I'm so glad you came here, it won't be the same now
I'm 
telling
 you

You know you pick me up 
From 
where
 some try to drag me down
And when I see your 
smile
 
Replace 
every
 thoughtless frown
Got me 
escaping
 from this zoo
Baby, I'm in love with you
I'm so glad you came here, it won't be the same now 
When I'm with you

If I grow up I'll be a 
singer
 
Wearing 
rings
 on 
every
 finger
Not 
worrying
 what they or you say 
I'll live and love and 
maybe
 someday
Who knows, baby, you may 
comfort
 me

I may 
appear
 to be imperfect
My love is 
something
 you can't reject
I'm 
changing
 faster than the 
weather
 
If you and me 
should
 get together
Who knows, baby, you may 
comfort
 me

I want that love of yours
To miss that love is 
something
 I'd hate
I'll make an 
early
 start
I'm 
making
 sure that I'm not late

For you 
sweet
 top lip I'm in the queue
Baby, I'm in love with you
I'm so glad you came here, it won't be the same now 
When I'm with you
I'm so glad you came here, it won't be the same now 
When I'm with you"
Martha My Dear,"Martha, my dear
Though I 
spend
 my days in conversation, please
Remember me
Martha, my love
Don't 
forget
 me
Martha, my dear

Hold your head up, you 
silly
 girl
Look what you've done
When you find 
yourself
 in the 
thick
 of it
Help 
yourself
 to a bit of what is all 
around
 you
Silly girl

Take a good look 
around
 you
Take a good look you're 
bound
 to see
That you and me were 
meant
 to be
With each other
Silly girl

Hold you're hand out, you 
silly
 girl
See what you've done
When you find 
yourself
 in the 
thick
 of it
Help 
yourself
 to a bit of what is all 
around
 you
Silly girl

Martha, my dear
You have 
always
 been my inspiration
Please, be good to me
Martha, my love
Don't 
forget
 me
Martha, my dear."
Get Back (In German),"Jojo was a man who thought he was a loner
But he knew it wouldn't last
Jojo left his home in Tucson, Arizona
For some California grass

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Jojo, go home

Get back, get back
Back to where you once belonged
Get back, get back
Back to where you once belonged
Get back Jo

Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Loretta, go home

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged

Get back, get back
Get back to where you once belonged
Get back, get back, get back"
One After 909,"My baby said she's trav'ling on the one 
after
 909
I said move over 
honey
 I'm 
traveling
 on that line
I said move over once, move over twice
Come on baby don't be cold as ice.
Said she's trav'ling on the one 
after
 909.

I 
begged
 her not to go and I 
begged
 her on my 
bended
 knees,
You're only 
fooling
 around, you're 
fooling
 around with me.
I said move over once, move over twice
Come on baby don't be cold as ice.
Said she's trav'ling on the one 
after
 909.

I got my bag, run to the station
Railman says you've got the the 
wrong
 location
I got my bag, run 
right
 home
Then I find I've got the 
number
 wrong

Well she said she's trav'ling on the one 
after
 909
I said move over 
honey
 I'm 
traveling
 on that line
I said move over once, move over twice
Come on baby don't be cold as ice.
Said she's trav'ling on the one 
after
 909.

I got my bag, run to the station
Railman says you've got the the 
wrong
 location
I got my bag, run 
right
 home
Then I find I've got the 
number
 wrong

Well she said she's trav'ling on the one 
after
 909
I said move over 
honey
 I'm 
traveling
 on that line
I said move over once, move over twice
Come on baby don't be cold as ice.
Said she's trav'ling on the one 
after
 9-0,
Said she's trav'ling on the one 
after
 9-0,
Said she's trav'ling on the one 
after
 909."
Polythene Pam,"Well, you 
should
 see 
Polythene
 Pam
She's so good-looking but she 
looks
 like a man
Well, you 
should
 see her in drag 
dressed
 in her 
polythene
 bag
Yes, you 
should
 see 
Polythene
 Pam
Yeah, yeah, yeah

Get a dose of her in 
jackboots
 and kilt
She's killer-diller when she's 
dressed
 to the hilt
She's the kind of a girl that 
makes
 the ""News of the World""
Yes, you 
could
 say she was 
attractively
 built
Yeah, yeah, yeah"
I Want You,Lyrics not found for 'I Want You' by 'The Beatles'.
Octopus's Garden,"I'd like to be under the sea
In an octopus' garden in the shade
He'd let us in, knows where we've been
In his octopus' garden in the shade

I'd ask my friends to come and see
An octopus' garden with me
I'd like to be under the sea
In an octopus' garden in the shade.

We would be warm below the storm
In our little hideaway beneath the waves
Resting our head on the sea bed
In an octopus' garden near a cave

We would sing and dance around
Because we know we can't be found
I'd like to be under the sea
In an octopus' garden in the shade

We would shout and swim about
The coral that lies beneath the waves
(Lies beneath the ocean waves)
Oh what joy for every girl and boy
Knowing they're happy and they're safe
(Happy and they're safe)

We would be so happy you and me
No one there to tell us what to do
I'd like to be under the sea
In an octopus' garden with you."
She Came in Through the Bathroom Window,"She came in through the bathroom window
Protected by a silver spoon
But now she sucks her thumb and wanders
By the banks of her own lagoon

Didn't anybody tell her?
Didn't anybody see?
Sunday's on the phone to Monday
Tuesday's on the phone to me

She said she'd always been a dancer
She worked at fifteen clubs a day
And though she thought I knew the answer
Well, I knew what I could not say

And so I quit the police department
And got myself a steady job
And though she tried her best to help me
She could steal but she could not rob

Didn't anybody tell her?
Didn't anybody see?
Sunday's on the phone to Monday,
Tuesday's on the phone to me
Oh yeah"
I've Got a Feeling,"I've got a feeling, a 
feeling
 deep inside
Oh yeah, Oh yeah.
I've got a feeling, a 
feeling
 I can't hide
Oh no. Oh no, Oh no,
Yeah I've got a feeling. 

Oh 
please
 believe me, I'd hate to miss the train
Oh yeah, Oh yeah.
And if you 
leave
 me I won't be late again
Oh no, Oh no, Oh no.
Yeah I've got a 
feeling
 yeah. 

All 
these
 years I've been 
wandering
 around,
Wondering how come 
nobody
 told me
All that I was 
looking
 for was somebody
Who 
looked
 like you. 

Ev'rybody had a hard year
Ev'rybody had a good time
Ev'rybody had a wet dream,
Ev'rybody saw the sunshine
Oh yeah, Oh yeah.
Ev'rybody had a good year,
Ev'rybody let 
their
 hair down,
Ev'rybody 
pulled
 their 
socks
 up,
Ev'rybody put 
their
 foot down.
Oh yeah, Oh yeah. 

[Oh my soul... so odd.]"
